genotype,devstage,arclength,x,y,x_sd,y_sd,x_sem,y_sem,curvature,curvature_sd,curvature_sem,crosssection
ecadGFPnbG4myoVI,wL3,-158.60906026132136,107.01971778625163,-93.45243889971164,7.401525355135773,4.633890606859086,3.310062766254372,2.0723388794469337,0.004512484448285089,0.026198473216127584,0.011716313403593763,Along_DV
ecadGFPnbG4myoVI,wL3,-153.5144961837971,106.64938278785738,-88.50111659515235,6.547868004151025,4.53161380680592,2.928295592995513,2.026599303958927,0.012397497645008287,0.009407617553645753,0.004207214471254436,Along_DV
ecadGFPnbG4myoVI,wL3,-148.41993210627285,105.98623498620812,-83.53173480559632,5.691707811851901,4.419655306502436,2.545409115073487,1.9765299404914232,0.014109899873750886,0.006054862816665993,0.002707816970500201,Along_DV
ecadGFPnbG4myoVI,wL3,-143.32536802874858,104.96956930149197,-78.61876457287302,4.966852265087004,4.328859269453743,2.2212438597866693,1.9359247183057298,0.014138074215840513,0.008061547357192214,0.0036052335789031136,Along_DV
ecadGFPnbG4myoVI,wL3,-138.23080395122435,103.59710924400524,-73.79202111981395,4.407797195436076,4.26355551089703,1.9712268320055981,1.9067199896419207,0.013043491968878957,0.010200518855741183,0.004561810713441131,Along_DV
ecadGFPnbG4myoVI,wL3,-133.13623987370008,101.90502991386671,-69.0525296007538,3.9809709333403434,4.206855606634677,1.7803443246799582,1.8813630215922503,0.010922304901649782,0.009715644587103226,0.004344968348398138,Along_DV
ecadGFPnbG4myoVI,wL3,-128.0416757961758,99.94840045373836,-64.38808410926653,3.6378775976795383,4.1363891149707985,1.6269083204470156,1.8498494484929797,0.008435768695268004,0.006795890556910057,0.003039214650579958,Along_DV
ecadGFPnbG4myoVI,wL3,-122.94711171865156,97.78490016510887,-59.78588923449367,3.347578413441568,4.0361062219415,1.4970825784932482,1.8050015753342095,0.006415380990994465,0.003139808969467063,0.0014041652584183828,Along_DV
ecadGFPnbG4myoVI,wL3,-117.8525476411273,95.46331505963903,-55.23964614274665,3.09429338285397,3.8987193261474524,1.3838100692778517,1.7435602876915752,0.005359390414621347,0.0012114290387692723,0.0005417675361210642,Along_DV
ecadGFPnbG4myoVI,wL3,-112.75798356360305,93.01450055433774,-50.75333629734988,2.8623857155638914,3.7231096865656417,1.2800978075650478,1.665025269369742,0.005364756647458936,0.002614659005093608,0.0011693110546742553,Along_DV
ecadGFPnbG4myoVI,wL3,-107.6634194860788,90.44750113937887,-46.34230173814124,2.632761415541915,3.5128380977995795,1.1774066987380587,1.5709889561261827,0.006150140453524502,0.0035690974518198977,0.0015961489041181143,Along_DV
ecadGFPnbG4myoVI,wL3,-102.56885540855453,87.75383458769855,-42.030483714051584,2.3884598487672712,3.2755628212258987,1.0681517166744972,1.4648762265664201,0.007465319336579965,0.0038250766793901745,0.0017106262948531198,Along_DV
ecadGFPnbG4myoVI,wL3,-97.47429133103027,84.91345028898131,-37.84687840999176,2.12072068544315,3.022452004572454,0.9484151227881664,1.3516816281909023,0.009078763582736887,0.0035732265917786444,0.001597995511645388,Along_DV
ecadGFPnbG4myoVI,wL3,-92.37972725350602,81.90045488544135,-33.82210500689043,1.8313589287620053,2.7673063013855588,0.8190086111826077,1.237577000892326,0.010728136701429468,0.003076953567145871,0.0013760554679497262,Along_DV
ecadGFPnbG4myoVI,wL3,-87.28516317598175,78.6888168370983,-29.9849839541284,1.5314065738550402,2.525256033410284,0.6848658400659844,1.129328830259375,0.012110127537588028,0.002649290785468199,0.001184798857694141,Along_DV
ecadGFPnbG4myoVI,wL3,-82.1905990984575,75.2578610218138,-26.359251952360626,1.237291354829389,2.310734682456181,0.5533335154742652,1.0333919655876822,0.012966961458499496,0.0025014631802070626,0.0011186883428311596,Along_DV
ecadGFPnbG4myoVI,wL3,-77.09603502093324,71.59629976335663,-22.961435760924502,0.9655644674989973,2.1347242577870817,0.4318135571972288,0.9546777107259399,0.013186173046431734,0.0025553853097563897,0.0011428030522639288,Along_DV
ecadGFPnbG4myoVI,wL3,-72.00147094340899,67.70413555506312,-19.80063662090948,0.7279211615089098,2.0023654079286892,0.3255362398789051,0.895485033584529,0.01282117641339744,0.0025412350147043994,0.0011364748479363428,Along_DV
ecadGFPnbG4myoVI,wL3,-66.90690686588474,63.592307967878995,-16.879512981334145,0.5293972135473171,1.9115605254790944,0.2367536313181547,0.8548758556152947,0.012065254665544667,0.0023887146934924736,0.001068265686700349,Along_DV
